Is Military,Is Civilian,Flew Fighter,Flew Cargo,Flew Corporate,Flew RJ,Arts Degree,Stem Degree,A-Hours,B-Hours,C-Hours,Prev Capt,Prev Rot-Wing,# of Retrains
1,0,0,0,1,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0,0,0,0
0,1,0,1,0,0,0,1,1,0,0,1,0,0
1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,0,0
1,0,0,1,1,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,0,0
0,1,0,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1,0,1,0,1,0,0
0,1,0,0,1,0,1,0,1,0,0,0,0,0
0,1,0,1,1,0,1,0,0,0,0,1,0,0
0,1,0,0,1,0,0,1,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,1,0
1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0,1,0,1,0,1,0,1,0,0
1,0,0,0,1,0,0,1,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,1,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0,0,0,1,0,1,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,1,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,1,0,1,0,0,1,0,1,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,0,0,1,0
1,0,0,1,1,0,0,1,1,0,0,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,0,1,1,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,0,0
0,1,0,0,0,0,1,0,0,1,0,0,0,0
1,0,0,1,1,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,1,0,0,1,0,0,1,0
0,1,0,1,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,0,1,0,1,0,0,1,0,0
1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,0,1,1,0,1,0,0,1,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,1,1,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0,0,1,0,0,0,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,1,0,1,1,0,0,0,1,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0
0,1,0,0,1,0,1,0,0,0,1,1,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,0,1,0,0
0,1,0,0,1,0,0,1,0,0,1,1,0,0
1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,1,0,0
1,0,0,0,1,0,1,0,0,0,1,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,0,1,1,0,1,0,0,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,0,1,1,0,0,0,0,0
1,0,0,0,0,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1,0,1,0,0,1,0,0,0,1,0,0,0
1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,0,1,0,0,1,1,0,0,0,0,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,1,1,0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0
1,0,0,0,1,0,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,0,1,1,0,1,0,0,1,0,0
1,0,1,0,0,1,0,1,1,0,0,0,0,0
1,0,0,1,1,0,0,1,0,1,0,0,0,0
1,0,0,0,1,0,1,0,0,0,0,0,1,0
1,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,0,1,0,1,1,0,0,0,0,0
1,0,1,0,0,1,0,1,0,0,1,0,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
0,1,0,0,0,1,0,1,1,0,0,1,0,0
1,0,1,0,0,0,0,1,1,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0,1,0,0,0,1,0,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,1,1,0,1,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,0,0,0,0,0
1,0,1,0,0,1,1,0,1,0,0,0,0,0
1,0,0,1,0,0,0,1,0,0,1,0,0,0
1,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0,1,0,0,0,0,1,0,1,0,0,0,0
